Predictor,Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
koizumi,fp,fp_8_trace,211.10272789001465,Pass,501.754896402359,40000016,10785121,3.7088,2322129,147500,0.2153,0.0137,6.3519%,3.6875,4624569,31.353,115.6142,20000016,5644541,3.5432,1347173,101477,0.2387,0.018,7.5326%,5.0738,3173260,31.2707,158.6629
koizumi,fp,fp_9_trace,143.53112411499023,Pass,511.7180047035217,40000016,16111749,2.4827,5012816,163134,0.3111,0.0101,3.2543%,4.0783,11252988,68.98,281.3246,20000016,7665587,2.6091,2500178,86192,0.3262,0.0112,3.4474%,4.3096,5322396,61.7505,266.1196
koizumi,infra,infra_0_trace,94.09143447875977,Pass,413.4789206981659,40000016,8732632,4.5805,5140781,36392,0.5887,0.0042,0.7079%,0.9098,1368529,37.6052,34.2132,20000016,4341940,4.6062,2582400,18179,0.5948,0.0042,0.7040%,0.9089,728537,40.0757,36.4268
koizumi,infra,infra_10_trace,117.67702960968018,Pass,482.16084718704224,50000052,18120140,2.7594,6548159,250784,0.3614,0.0138,3.8298%,5.0157,12825586,51.142,256.5115,25000052,6149282,4.0655,3150015,107786,0.5123,0.0175,3.4218%,4.3114,3889741,36.0876,155.5893
koizumi,infra,infra_11_trace,209.3641147613525,Pass,491.60240602493286,50000052,18209515,2.7458,7754708,48642,0.4259,0.0027,0.6273%,0.9728,3741765,76.9246,74.8352,25000052,9174910,2.7248,3881908,23541,0.4231,0.0026,0.6064%,0.9416,2154903,91.5383,86.1959
koizumi,infra,infra_12_trace,207.5736560821533,Pass,502.58179450035095,50000052,17403690,2.873,7862103,47624,0.4517,0.0027,0.6057%,0.9525,3278006,68.831,65.5601,25000052,8297791,3.0129,3927069,22650,0.4733,0.0027,0.5768%,0.906,1624880,71.7386,64.9951
koizumi,infra,infra_13_trace,139.63556957244873,Pass,469.4392621517181,50000052,20101636,2.4874,6532412,191733,0.325,0.0095,2.9351%,3.8347,13288020,69.3048,265.7601,25000052,9508221,2.6293,3378036,78012,0.3553,0.0082,2.3094%,3.1205,4995831,64.0393,199.8328
koizumi,infra,infra_14_trace,118.4549331665039,Pass,470.34634137153625,50000052,17624387,2.837,6536492,253167,0.3709,0.0144,3.8731%,5.0633,12505981,49.3981,250.1194,25000052,6117851,4.0864,3156210,107271,0.5159,0.0175,3.3987%,4.2908,3864252,36.0233,154.5698
koizumi,infra,infra_15_trace,101.22027969360352,Pass,456.6180903911591,50000052,34158905,1.4637,6957507,408379,0.2037,0.012,5.8696%,8.1676,29629689,72.5544,592.5932,25000052,6174237,4.0491,3466846,134438,0.5615,0.0218,3.8778%,5.3775,3888834,28.9266,155.553
koizumi,infra,infra_1_trace,175.13615703582764,Pass,389.7229917049408,37799521,8165750,4.629,4337669,11166,0.5312,0.0014,0.2574%,0.2954,572437,51.2661,15.144,19799521,3716626,5.3273,2263258,2786,0.609,0.0007,0.1231%,0.1407,113562,40.7617,5.7356
koizumi,infra,infra_2_trace,221.61112022399905,Pass,788.2179172039032,47546686,10496113,4.5299,5818731,14457,0.5544,0.0014,0.2485%,0.3041,574138,39.7135,12.0752,24546686,4235508,5.7955,2997214,2267,0.7076,0.0005,0.0756%,0.0924,55044,24.2805,2.2424
koizumi,infra,infra_3_trace,83.57435989379883,Pass,413.5093631744385,40000016,7946526,5.0336,5433078,27847,0.6837,0.0035,0.5125%,0.6962,951363,34.1639,23.7841,20000016,3943157,5.0721,2737308,12475,0.6942,0.0032,0.4557%,0.6237,450383,36.1028,22.5191
koizumi,infra,infra_4_trace,84.87091732025146,Pass,453.1726813316345,40000016,23474451,1.704,5988066,80398,0.2551,0.0034,1.3426%,2.0099,11665589,145.098,291.6396,20000016,11699777,1.7094,2971304,39596,0.254,0.0034,1.3326%,1.9798,5777223,145.9042,288.8609
koizumi,infra,infra_5_trace,58.87110328674317,Pass,481.3149154186249,40000016,34366749,1.1639,7268207,79806,0.2115,0.0023,1.0980%,1.9951,26169827,327.918,654.2454,20000016,22059423,0.9066,3539219,54643,0.1604,0.0025,1.5439%,2.7321,18214417,333.3349,910.7201
koizumi,infra,infra_6_trace,168.09687328338623,Pass,676.8057601451874,64718349,15287094,4.2335,9187928,74973,0.601,0.0049,0.8160%,1.1585,3027462,40.3807,46.779,32718349,7688474,4.2555,5004718,36371,0.6509,0.0047,0.7267%,1.1116,1733807,47.67,52.9919
koizumi,infra,infra_7_trace,65.31903553009033,Pass,474.88380432128906,40000016,21719239,1.8417,6716982,47656,0.3093,0.0022,0.7095%,1.1914,8082036,169.5912,202.0508,20000016,11154724,1.793,3345402,13110,0.2999,0.0012,0.3919%,0.6555,3383715,258.1018,169.1856
koizumi,infra,infra_8_trace,54.09443473815918,Pass,490.30548310279846,40000016,24528898,1.6307,7460282,49863,0.3041,0.002,0.6684%,1.2466,15824234,317.3542,395.6057,20000016,12234634,1.6347,3730712,24748,0.3049,0.002,0.6634%,1.2374,7872813,318.1192,393.6403
koizumi,infra,infra_9_trace,141.69822597503662,Pass,492.7198534011841,50000052,28871741,1.7318,7203244,224144,0.2495,0.0078,3.1117%,4.4829,19253949,85.8999,385.0786,25000052,17006924,1.47,3405201,170006,0.2002,0.01,4.9925%,6.8002,14367422,84.5113,574.6957
koizumi,int,int_0_trace,137.11144542694092,Pass,655.0600152015686,40000041,14485249,2.7614,6223265,193674,0.4296,0.0134,3.1121%,4.8418,9764743,50.4185,244.1183,20000041,6413242,3.1186,3076555,94280,0.4797,0.0147,3.0645%,4.714,4168667,44.2158,208.4329
koizumi,int,int_10_trace,204.85591316223145,Pass,959.9319713115692,60000052,9630209,6.2304,7032592,29798,0.7303,0.0031,0.4237%,0.4966,832235,27.9292,13.8706,30000052,4449342,6.7426,3499163,13868,0.7864,0.0031,0.3963%,0.4623,327520,23.617,10.9173
koizumi,int,int_11_trace,203.19092559814453,Pass,909.3859040737152,60000052,16085439,3.7301,4130584,233239,0.2568,0.0145,5.6466%,3.8873,8642130,37.0527,144.0354,30000052,8035514,3.7334,2064453,117591,0.2569,0.0146,5.6960%,3.9197,4350347,36.9956,145.0113
koizumi,int,int_12_trace,204.59925079345703,Pass,1008.0138692855836,59999603,18386568,3.2632,6357220,25062,0.3458,0.0014,0.3942%,0.4177,975429,38.9206,16.2573,30999603,4921382,6.299,4522132,23828,0.9189,0.0048,0.5269%,0.7687,895436,37.5792,28.8854
koizumi,int,int_13_trace,32.30572509765625,Pass,645.2717201709747,40000052,6182018,6.4704,4243961,34055,0.6865,0.0055,0.8024%,0.8514,1012438,29.7295,25.3109,20000052,3022758,6.6165,2111572,15442,0.6986,0.0051,0.7313%,0.7721,480489,31.1157,24.0244
koizumi,int,int_14_trace,177.29002475738525,Pass,723.4729058742523,39999640,6970145,5.7387,7635435,14853,1.0954,0.0021,0.1945%,0.3713,378794,25.5029,9.4699,20999640,3389008,6.1964,3974167,6308,1.1727,0.0019,0.1587%,0.3004,146101,23.1612,6.9573
koizumi,int,int_15_trace,98.1560001373291,Pass,1013.2058691978456,70000157,18434981,3.7971,9192864,30223,0.4987,0.0016,0.3288%,0.4318,1758620,58.1881,25.1231,35000157,9250308,3.7837,4669511,28649,0.5048,0.0031,0.6135%,0.8185,1403359,48.9846,40.0958
koizumi,int,int_16_trace,128.2670030593872,Pass,724.4386060237885,40000031,17282983,2.3144,6733574,228007,0.3896,0.0132,3.3861%,5.7002,5462379,23.9571,136.5594,20000031,7225409,2.768,3364149,116542,0.4656,0.0161,3.4642%,5.8271,2648919,22.7293,132.4457
koizumi,int,int_17_trace,128.60758018493652,Pass,733.12056183815,39999987,15422090,2.5937,6659971,190269,0.4318,0.0123,2.8569%,4.7567,4582855,24.0862,114.5714,20999987,6044880,3.474,3432362,84991,0.5678,0.0141,2.4762%,4.0472,1954821,23.0003,93.0868
koizumi,int,int_18_trace,108.31880569458008,Pass,776.5946340560913,39999864,10601355,3.7731,9457814,25200,0.8921,0.0024,0.2664%,0.63,1197915,47.5363,29.948,20999864,5044956,4.1625,4985263,10096,0.9882,0.002,0.2025%,0.4808,421849,41.7838,20.0882
koizumi,int,int_19_trace,184.28955841064453,Pass,735.5926094055176,40000052,7938222,5.0389,5852871,30411,0.7373,0.0038,0.5196%,0.7603,1303611,42.8664,32.5902,20000052,3747703,5.3366,2929049,11670,0.7816,0.0031,0.3984%,0.5835,543955,46.6114,27.1977
koizumi,int,int_1_trace,92.84952068328856,Pass,554.0543665885925,30000052,17735515,1.6915,5301134,292535,0.2989,0.0165,5.5183%,9.7511,13731313,46.939,457.7096,15000052,8421704,1.7811,2642836,144603,0.3138,0.0172,5.4715%,9.6402,6452159,44.6198,430.1424
koizumi,int,int_20_trace,187.00185585021973,Pass,948.872925043106,60000051,16726402,3.5871,9561405,139830,0.5716,0.0084,1.4624%,2.3305,4652217,33.2705,77.5369,30000051,6834915,4.3892,4877083,65666,0.7136,0.0096,1.3464%,2.1889,1873092,28.5245,62.4363
koizumi,int,int_21_trace,91.63193035125732,Pass,684.3701529502869,40000052,39882864,1.0029,9059172,867369,0.2271,0.0217,9.5745%,21.6842,34883839,40.218,872.0948,20000052,19698950,1.0153,4504449,444814,0.2287,0.0226,9.8750%,22.2406,17173441,38.6081,858.6698
koizumi,int,int_22_trace,96.68442058563232,Pass,806.7487144470215,40000052,20605221,1.9413,6671960,156118,0.3238,0.0076,2.3399%,3.9029,13029720,83.4607,325.7426,20000052,10052661,1.9895,3314359,74098,0.3297,0.0074,2.2357%,3.7049,6283363,84.798,314.1673
koizumi,int,int_23_trace,182.35865116119385,Pass,753.7297701835632,40000052,18329716,2.1823,5329093,126702,0.2907,0.0069,2.3776%,3.1675,6018110,47.4981,150.4526,20000052,8498030,2.3535,2669216,60618,0.3141,0.0071,2.2710%,3.0309,2519387,41.5617,125.969
koizumi,int,int_24_trace,145.2402381896973,Pass,808.0888977050781,40000051,14489441,2.7606,8385203,20508,0.5787,0.0014,0.2446%,0.5127,2172697,105.9439,54.3174,20000051,6878005,2.9078,4599578,8420,0.6687,0.0012,0.1831%,0.421,898236,106.6789,44.9117
koizumi,int,int_25_trace,169.04896354675293,Pass,725.5487966537476,40000052,7668606,5.2161,2766410,52928,0.3607,0.0069,1.9132%,1.3232,1986888,37.5394,49.6721,20000052,4227508,4.7309,1541724,46135,0.3647,0.0109,2.9924%,2.3067,1528895,33.1396,76.4446
koizumi,int,int_26_trace,197.1726722717285,Pass,688.0240445137024,40000052,6739970,5.9348,2130479,48181,0.3161,0.0071,2.2615%,1.2045,1704815,35.3836,42.6203,20000052,3155170,6.3388,1067816,21802,0.3384,0.0069,2.0417%,1.0901,801211,36.7494,40.0604
